shelter_name,shelter_location,is_indoor,capacity,nearest_aqi_station,nearest_aqi_county,nearest_aqi,nearest_aqi_level,distance_to_station_m,risk_label,disaster_types,shelter_lat,shelter_lon
溫泉部落鄰長家,南投縣仁愛鄉,True,50,台中,台中市,45,良好,51421.41878336518,Safe,"水災,土石流,海嘯",24.163778,121.180117
惠來國小（三期活動中心、操場）,臺中市西屯區,True,505,台中,台中市,45,良好,3090.3868817973416,Safe,"水災,震災",24.16493,120.6497
海尾社區活動中心,彰化縣伸港鄉,True,40,台中,台中市,45,良好,19220.408801104903,Safe,"水災,土石流,海嘯",24.165165,120.485127
西屯區公所,臺中市西屯區,True,372,台中,台中市,45,良好,4494.517298995899,Safe,"水災,震災",24.165436,120.633793
臺中市北區明德活動中心,臺中市北區,True,30,台中,台中市,45,良好,2046.3667059015102,Safe,"水災,震災",24.1657,120.6694
臺中市北區行政大樓,臺中市北區,True,400,台中,台中市,45,良好,2214.0460062149846,Safe,"水災,震災",24.166,120.6822
臺中市立東山高級中學禮堂、操場,臺中市北屯區,True,770,台中,台中市,45,良好,4444.507875531775,Safe,"震災,土石流",24.1666,120.7122
定興社區活動中心,彰化縣伸港鄉,True,40,台中,台中市,45,良好,18046.756482279114,Safe,"水災,土石流,海嘯",24.166813,120.496962
臺中市立三光國民中學（禮堂、操場）,臺中市北屯區,True,2235,台中,台中市,45,良好,3333.022614651538,Safe,"水災,震災,土石流",24.167354,120.698404
文昌國民小學（活動中心-弘文堂、操場）,臺中市北屯區,True,1422,台中,台中市,45,良好,3024.429018140972,Safe,"水災,震災,土石流",24.168188,120.693207
中山國中（操場）,臺中市西屯區,True,1375,台中,台中市,45,良好,2678.2301621695224,Safe,震災,24.168445,120.660187
逢甲國民小學（操場、校舍頂樓）,臺中市北屯區,True,483,台中,台中市,45,良好,9040.713727482884,Safe,"水災,土石流",24.168462,120.759755
臺中市北區長青里活動中心,臺中市北區,True,200,台中,台中市,45,良好,2435.1777100262334,Safe,"水災,震災",24.1691,120.6685
長安國小（操場跑道）,臺中市西屯區,True,242,台中,台中市,45,良好,3162.290361190493,Safe,震災,24.169105,120.653078
何福、何德里聯合活動中心,臺中市西屯區,True,380,台中,台中市,45,良好,2700.08192314396,Safe,"水災,震災",24.169681,120.662291
