asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
豐裡活動中心,shelter,"(326631, 2600272)",high,N/A,N,N,N,W3 Hualien City shelter
瑞穗社區活動中心,shelter,"(334450, 2599783)",low,N/A,N,N,N,W3 Hualien City shelter
豐濱國中禮堂,shelter,"(349180, 2610854)",very_high,N/A,N,N,N,W3 Hualien City shelter
花東山琉璃禪寺,shelter,"(338401, 2610748)",very_high,N/A,N,N,N,W3 Hualien City shelter
富源消防分隊,shelter,"(334312, 2608424)",low,N/A,N,N,N,W3 Hualien City shelter
富興社區活動中心,shelter,"(335471, 2608842)",low,N/A,N,N,N,W3 Hualien City shelter
富源社區活動中心,shelter,"(334261, 2608402)",low,N/A,N,N,N,W3 Hualien City shelter
馬遠國民小學,shelter,"(332835, 2608338)",very_high,N/A,N,N,N,W3 Hualien City shelter
八里灣基督長老教會,shelter,"(345477, 2607227)",very_high,N/A,N,N,N,W3 Hualien City shelter
東興部落原住民多功能活動中心,shelter,"(350137, 2614598)",high,N/A,N,N,N,W3 Hualien City shelter
西南活動中心,shelter,"(341860, 2617266)",high,N/A,N,N,N,W3 Hualien City shelter
大禹社區活動中心,shelter,"(329210, 2586631)",high,N/A,N,N,N,W3 Hualien City shelter
和平國小,shelter,"(373045, 2688906)",high,N/A,N,N,N,W3 Hualien City shelter
豐南社區活動中心,shelter,"(322732, 2560403)",very_high,N/A,N,N,N,W3 Hualien City shelter
富里老人文康中心,shelter,"(320626, 2563920)",very_high,N/A,N,N,N,W3 Hualien City shelter
石平社區活動中心,shelter,"(319431, 2564363)",very_high,N/A,N,N,N,W3 Hualien City shelter
玉寶宮,shelter,"(319817, 2562454)",high,N/A,N,N,N,W3 Hualien City shelter
永豐社區活動中心,shelter,"(321531, 2563563)",very_high,N/A,N,N,N,W3 Hualien City shelter
磯崎村辦公處活動中心,shelter,"(351352, 2622715)",very_high,N/A,N,N,N,W3 Hualien City shelter
明利社區活動中心,shelter,"(338141, 2622450)",high,N/A,N,N,N,W3 Hualien City shelter
東富國小,shelter,"(345267, 2620120)",very_high,N/A,N,N,N,W3 Hualien City shelter
大興國小,shelter,"(336605, 2614434)",high,N/A,N,N,N,W3 Hualien City shelter
馬佛活動中心,shelter,"(339803, 2614830)",low,N/A,N,N,N,W3 Hualien City shelter
新社國小二樓綜合教室,shelter,"(350625, 2616454)",high,N/A,N,N,N,W3 Hualien City shelter
光復鄉立托兒所,shelter,"(338690, 2616603)",high,N/A,N,N,N,W3 Hualien City shelter
萬榮社區活動中心,shelter,"(337922, 2623511)",high,N/A,N,N,N,W3 Hualien City shelter
鳳林國中進德堂,shelter,"(341902, 2626735)",low,N/A,N,N,N,W3 Hualien City shelter
鳳林鎮公所,shelter,"(342209, 2626820)",low,N/A,N,N,N,W3 Hualien City shelter
"鳳禮,鳳智里活動中心",shelter,"(342129, 2626965)",low,N/A,N,N,N,W3 Hualien City shelter
鳳仁社區活動中心,shelter,"(342235, 2627385)",low,N/A,N,N,N,W3 Hualien City shelter
森榮里辦公處,shelter,"(336609, 2623881)",very_high,N/A,N,N,N,W3 Hualien City shelter
樂活會館,shelter,"(341955, 2626437)",low,N/A,N,N,N,W3 Hualien City shelter
鳳林鎮藝文中心,shelter,"(341738, 2626626)",low,N/A,N,N,N,W3 Hualien City shelter
長橋社區活動中心,shelter,"(338873, 2622981)",low,N/A,N,N,N,W3 Hualien City shelter
南平社區活動中心,shelter,"(342926, 2630910)",low,N/A,N,N,N,W3 Hualien City shelter
水璉活動中心,shelter,"(351975, 2630815)",very_high,N/A,N,N,N,W3 Hualien City shelter
見晴國民小學,shelter,"(342271, 2631118)",low,N/A,N,N,N,W3 Hualien City shelter
米棧活動中心,shelter,"(349657, 2632323)",high,N/A,N,N,N,W3 Hualien City shelter
林榮社區活動中心,shelter,"(342096, 2633334)",low,N/A,N,N,N,W3 Hualien City shelter
溪口活動中心,shelter,"(344500, 2635080)",high,N/A,N,N,N,W3 Hualien City shelter
豐坪活動中心,shelter,"(348206, 2636768)",low,N/A,N,N,N,W3 Hualien City shelter
樹湖活動中心,shelter,"(344097, 2637432)",very_high,N/A,N,N,N,W3 Hualien City shelter
豐山國小,shelter,"(346406, 2638038)",low,N/A,N,N,N,W3 Hualien City shelter
豐山活動中心,shelter,"(346591, 2638192)",low,N/A,N,N,N,W3 Hualien City shelter
西林社區活動中心,shelter,"(331234, 2639192)",high,N/A,N,N,N,W3 Hualien City shelter
西林天主堂,shelter,"(332924, 2639429)",high,N/A,N,N,N,W3 Hualien City shelter
鳳仁國小羽球館,shelter,"(342217, 2627540)",low,N/A,N,N,N,W3 Hualien City shelter
大榮2村社區活動中心,shelter,"(343828, 2627644)",low,N/A,N,N,N,W3 Hualien City shelter
大榮1村社區活動中心,shelter,"(343828, 2627644)",low,N/A,N,N,N,W3 Hualien City shelter
北林3村社區活動中心,shelter,"(344193, 2629291)",low,N/A,N,N,N,W3 Hualien City shelter
壽豐鄉公所,shelter,"(348196, 2640678)",very_high,N/A,N,N,N,W3 Hualien City shelter
文化中心,shelter,"(348196, 2640678)",very_high,N/A,N,N,N,W3 Hualien City shelter
鹽寮活動中心,shelter,"(357280, 2640694)",high,N/A,N,N,N,W3 Hualien City shelter
光榮活動中心,shelter,"(348739, 2641923)",very_high,N/A,N,N,N,W3 Hualien City shelter
平和活動中心,shelter,"(349291, 2642139)",very_high,N/A,N,N,N,W3 Hualien City shelter
月眉活動中心,shelter,"(352801, 2643864)",medium,N/A,N,N,N,W3 Hualien City shelter
志學活動中心,shelter,"(350588, 2644518)",medium,N/A,N,N,N,W3 Hualien City shelter
池南活動中心,shelter,"(347938, 2646140)",very_high,N/A,N,N,N,W3 Hualien City shelter
光華活動中心,shelter,"(355283, 2647648)",low,N/A,N,N,N,W3 Hualien City shelter
干城活動中心,shelter,"(351940, 2649166)",low,N/A,N,N,N,W3 Hualien City shelter
文蘭活動中心,shelter,"(348052, 2649262)",very_high,N/A,N,N,N,W3 Hualien City shelter
仁安活動中心,shelter,"(357216, 2649589)",low,N/A,N,N,N,W3 Hualien City shelter
南華活動中心,shelter,"(352587, 2649747)",low,N/A,N,N,N,W3 Hualien City shelter
稻香活動中心,shelter,"(355072, 2649954)",low,N/A,N,N,N,W3 Hualien City shelter
永興活動中心,shelter,"(354319, 2649984)",low,N/A,N,N,N,W3 Hualien City shelter
仁和活動中心,shelter,"(356285, 2650108)",low,N/A,N,N,N,W3 Hualien City shelter
銅門收容所,shelter,"(346811, 2651169)",very_high,N/A,N,N,N,W3 Hualien City shelter
東昌活動中心,shelter,"(357079, 2651152)",high,N/A,N,N,N,W3 Hualien City shelter
仁里活動中心,shelter,"(356797, 2651443)",high,N/A,N,N,N,W3 Hualien City shelter
主農社區活動中心,shelter,"(357235, 2651483)",high,N/A,N,N,N,W3 Hualien City shelter
福興活動中心,shelter,"(353735, 2651529)",low,N/A,N,N,N,W3 Hualien City shelter
南昌活動中心,shelter,"(355497, 2651677)",medium,N/A,N,N,N,W3 Hualien City shelter
中正國小,shelter,"(357533, 2651801)",medium,N/A,N,N,N,W3 Hualien City shelter
中原國小文中三國中預定地,shelter,"(357198, 2651815)",high,N/A,N,N,N,W3 Hualien City shelter
吉安國小,shelter,"(353780, 2652027)",low,N/A,N,N,N,W3 Hualien City shelter
花蓮城隍廟香客大樓,shelter,"(358156, 2651983)",medium,N/A,N,N,N,W3 Hualien City shelter
吉安活動中心,shelter,"(353933, 2652047)",low,N/A,N,N,N,W3 Hualien City shelter
五穀宮,shelter,"(354941, 2652081)",medium,N/A,N,N,N,W3 Hualien City shelter
月眉國小,shelter,"(353008, 2640358)",very_high,N/A,N,N,N,W3 Hualien City shelter
月眉國小-米棧分校,shelter,"(353010, 2640373)",very_high,N/A,N,N,N,W3 Hualien City shelter
壽豐活動中心,shelter,"(348276, 2640533)",high,N/A,N,N,N,W3 Hualien City shelter
共和活動中心,shelter,"(350404, 2640533)",high,N/A,N,N,N,W3 Hualien City shelter
主權社區活動中心,shelter,"(356937, 2652250)",medium,N/A,N,N,N,W3 Hualien City shelter
忠孝國小,shelter,"(357426, 2652234)",medium,N/A,N,N,N,W3 Hualien City shelter
宜昌活動中心,shelter,"(355859, 2652249)",high,N/A,N,N,N,W3 Hualien City shelter
勝安活動中心,shelter,"(356235, 2652223)",high,N/A,N,N,N,W3 Hualien City shelter
勝安宮,shelter,"(356217, 2652478)",high,N/A,N,N,N,W3 Hualien City shelter
聖地慈惠堂,shelter,"(356146, 2652512)",high,N/A,N,N,N,W3 Hualien City shelter
中正體育館,shelter,"(359016, 2652484)",high,N/A,N,N,N,W3 Hualien City shelter
國風國中,shelter,"(357103, 2652558)",medium,N/A,N,N,N,W3 Hualien City shelter
花蓮高商,shelter,"(357834, 2653437)",medium,N/A,N,N,N,W3 Hualien City shelter
北昌活動中心,shelter,"(357041, 2653500)",low,N/A,N,N,N,W3 Hualien City shelter
南美崙營區,shelter,"(359180, 2653667)",high,N/A,N,N,N,W3 Hualien City shelter
永安活動中心,shelter,"(354846, 2653744)",medium,N/A,N,N,N,W3 Hualien City shelter
